# English language
978973 85000-88999
978973 8900-9499
978973 95000-99999
# Thailand
978974 00-19
978974 200-699
978974 7000-8499
978974 85000-89999
978974 90000-94999
978974 9500-9999
# Turkey
978975 00000-01999
978975 02-23
978975 2400-2499
978975 250-599
978975 6000-9199
978975 92000-98999
978975 990-999
# Caribbean Community
978976 0-3
978976 40-59
978976 600-799
978976 8000-9499
978976 95000-99999
# Egypt
978977 00-19
978977 200-499
978977 5000-6999
978977 700-849
978977 85000-89999
978977 90-98
978977 990-999
# Nigeria
978978 000-199
978978 2000-2999
978978 30000-79999
978978 8000-8999
978978 900-999
# Indonesia
978979 000-099
978979 1000-1499
978979 15000-19999
978979 20-29
978979 3000-3999
978979 400-799
978979 8000-9499
978979 95000-99999
# Venezuela
978980 00-19
978980 200-599
978980 6000-9999
# Singapore
978981 00-16
978981 17000-19999
978981 200-299
978981 3000-3099
978981 310-399
978981 4000-9999
# South Pacific
978982 00-09
978982 100-699
978982 70-89
978982 9000-9799
978982 98000-99999
# Malaysia
978983 00-01
978983 020-199
978983 2000-3999
978983 40000-44999
978983 45-49
978983 50-79
978983 800-899
978983 9000-9899
978983 99000-99999
# Bangladesh
978984 00-39
978984 400-799
978984 8000-8999
978984 90000-99999
# Belarus
978985 00-39
978985 400-599
978985 6000-8799
978985 880-899
978985 90000-99999
# Taiwan
978986 00-11
978986 120-559
978986 5600-7999
978986 80000-99999
# Argentina
978987 00-09
978987 1000-1999
978987 20000-29999
978987 30-35
978987 3600-3999
978987 4000-4199
978987 42-43
978987 4400-4499
978987 45000-48999
978987 4900-4999
978987 500-899
978987 9000-9499
978987 95000-99999
# Hong Kong, China
978988 00-11
978988 12000-14999
978988 15000-16999
978988 17000-19999
978988 200-769
978988 77000-79999
978988 8000-9699
978988 97000-99999
# Portugal
978989 0-1
978989 20-53
978989 54000-54999
978989 550-799
978989 8000-9499
978989 95000-99999
# Morocco
9789920 35-39
9789920 700-799
9789920 9500-9999
# Kuwait
9789921 0-0
9789921 30-39
9789921 700-899
9789921 9700-9999
# Iraq
9789922 20-29
9789922 600-799
9789922 9000-9999
# Jordan
9789923 0-0
9789923 10-49
9789923 700-899
9789923 9700-9999
# Cambodia
9789924 30-39
9789924 500-649
9789924 9000-9999
# Cyprus
9789925 0-2
9789925 30-54
9789925 550-734
9789925 7350-9999
# Bosnia and Herzegovina
9789926 0-1
9789926 20-39
9789926 400-799
9789926 8000-9999
# Qatar
9789927 00-09
9789927 100-399
9789927 4000-4999
# Albania
9789928 00-09
9789928 100-399
9789928 4000-4999
# Guatemala
9789929 0-3
9789929 40-54
9789929 550-799
9789929 8000-9999
# Costa Rica
9789930 00-49
9789930 500-939
9789930 9400-9999
# Algeria
9789931 00-29
9789931 300-899
9789931 9000-9999
# Lao People's Democratic Republic
9789932 00-39
9789932 400-849
9789932 8500-9999
# Syria
9789933 0-0
9789933 10-39
9789933 400-899
9789933 9000-9999
# Latvia
9789934 0-0
9789934 10-49
9789934 500-799
9789934 8000-9999
# Iceland
9789935 0-0
9789935 10-39
9789935 400-899
9789935 9000-9999
# Afghanistan
9789936 0-1
9789936 20-39
9789936 400-799
9789936 8000-9999
# Nepal
9789937 0-2
9789937 30-49
9789937 500-799
9789937 8000-9999
# Tunisia
9789938 00-79
9789938 800-949
9789938 9500-9999
# Armenia
9789939 0-4
9789939 50-79
9789939 800-899
9789939 9000-9999
# Montenegro
9789940 0-1
9789940 20-49
9789940 500-899
9789940 9000-9999
# Georgia
9789941 0-0
9789941 10-39
9789941 400-799
9789941 8-8
9789941 9000-9999
# Ecuador
9789942 00-74
9789942 750-849
9789942 8500-8999
9789942 900-984
9789942 9850-9999
# Uzbekistan
9789943 00-29
9789943 300-399
9789943 4000-9749
9789943 975-999
# Turkey
9789944 0000-0999
9789944 100-499
9789944 5000-5999
9789944 60-69
9789944 700-799
9789944 80-89
9789944 900-999
# Dominican Republic
9789945 00-00
9789945 010-079
9789945 08-39
9789945 400-569
9789945 57-57
9789945 580-849
9789945 8500-9999
# Korea, P.D.R.
9789946 0-1
9789946 20-39
9789946 400-899
9789946 9000-9999
# Algeria
9789947 0-1
9789947 20-79
9789947 800-999
# United Arab Emirates
9789948 00-39
9789948 400-849
9789948 8500-9999
# Estonia
9789949 00-04
9789949 10-39
9789949 400-699
9789949 70-71
9789949 7200-7499
9789949 75-89
9789949 9000-9999
# Palestine
9789950 00-29
9789950 300-849
9789950 8500-9999
# Kosova
9789951 00-39
9789951 400-849
9789951 8500-9999
# Azerbaijan
9789952 0-1
9789952 20-39
9789952 400-799
9789952 8000-9999
# Lebanon
9789953 0-0
9789953 10-39
9789953 400-599
9789953 60-89
9789953 9000-9299
9789953 93-96
9789953 970-999
# Morocco
9789954 0-1
9789954 20-39
9789954 400-799
9789954 8000-9899
9789954 99-99
# Lithuania
9789955 00-39
9789955 400-929
9789955 9300-9999
# Cameroon
9789956 0-0
9789956 10-39
9789956 400-899
9789956 9000-9999
# Jordan
9789957 00-39
9789957 400-649
9789957 65-67
9789957 680-699
9789957 70-84
9789957 8500-8799
9789957 88-99
# Bosnia and Herzegovina
9789958 00-01
9789958 020-029
9789958 0300-0399
9789958 040-089
9789958 0900-0999
9789958 10-18
9789958 1900-1999
9789958 20-49
9789958 500-899
9789958 9000-9999
# Libya
9789959 0-1
9789959 20-79
9789959 800-949
9789959 9500-9699
9789959 970-979
9789959 98-99
# Saudi Arabia
9789960 00-59
9789960 600-899
9789960 9000-9999
# Algeria
9789961 0-2
9789961 30-69
9789961 700-949
9789961 9500-9999
# Panama
9789962 00-54
9789962 5500-5599
9789962 56-59
9789962 600-849
9789962 8500-9999
# Cyprus
9789963 0-1
9789963 2000-2499
9789963 250-279
9789963 2800-2999
9789963 30-54
9789963 550-734
9789963 7350-7499
9789963 7500-9999
# Ghana
9789964 0-6
9789964 70-94
9789964 950-999
# Kazakhstan
9789965 00-39
9789965 400-899
9789965 9000-9999
# Kenya
9789966 000-149
9789966 1500-1999
9789966 20-69
9789966 7000-7499
9789966 750-959
9789966 9600-9999
# Kyrgyz Republic
9789967 00-39
9789967 400-899
9789967 9000-9999
# Costa Rica
9789968 00-49
9789968 500-939
9789968 9400-9999
# Uganda
9789970 00-39
9789970 400-899
9789970 9000-9999
# Singapore
9789971 0-5
9789971 60-89
9789971 900-989
9789971 9900-9999
# Peru
9789972 00-09
9789972 1-1
9789972 200-249
9789972 2500-2999
9789972 30-59
9789972 600-899
9789972 9000-9999
# Tunisia
9789973 00-05
9789973 060-089
9789973 0900-0999
9789973 10-69
9789973 700-969
9789973 9700-9999
# Uruguay
9789974 0-2
9789974 30-54
9789974 550-749
9789974 7500-8799
9789974 880-909
9789974 91-94
9789974 95-99
# Moldova
9789975 0-0
9789975 100-299
9789975 3000-3999
9789975 4000-4499
9789975 45-89
9789975 900-949
9789975 9500-9999
# Tanzania
9789976 0-4
9789976 5000-5899
9789976 59-89
9789976 900-989
9789976 9900-9999
# Costa Rica
9789977 00-89
9789977 900-989
9789977 9900-9999
# Ecuador
9789978 00-29
9789978 300-399
9789978 40-94
9789978 950-989
9789978 9900-9999
# Iceland
9789979 0-4
9789979 50-64
9789979 650-659
9789979 66-75
9789979 760-899
9789979 9000-9999
# Papua New Guinea
9789980 0-3
9789980 40-89
9789980 900-989
9789980 9900-9999
# Morocco
9789981 00-09
9789981 100-159
9789981 1600-1999
9789981 20-79
9789981 800-949
9789981 9500-9999
# Zambia
9789982 00-79
9789982 800-989
9789982 9900-9999
# Gambia
9789983 80-94
9789983 950-989
9789983 9900-9999
# Latvia
9789984 00-49
9789984 500-899
9789984 9000-9999
# Estonia
9789985 0-4
9789985 50-79
9789985 800-899
9789985 9000-9999
# Lithuania
9789986 00-39
9789986 400-899
9789986 9000-9399
9789986 940-969
9789986 97-99
# Tanzania
9789987 00-39
9789987 400-879
9789987 8800-9999
# Ghana
9789988 0-2
9789988 30-54
9789988 550-749
9789988 7500-9999
# Macedonia
9789989 0-0
9789989 100-199
9789989 2000-2999
9789989 30-59
9789989 600-949
9789989 9500-9999
# Bahrain
97899901 00-49
97899901 500-799
97899901 80-99
# Reserved Agency
# Mauritius
97899903 0-1
97899903 20-89
97899903 900-999
# Curaçao
97899904 0-5
97899904 60-89
97899904 900-999
# Bolivia
97899905 0-3
97899905 40-79
97899905 800-999
# Kuwait
97899906 0-2
97899906 30-59
97899906 600-699
97899906 70-89
97899906 90-94
97899906 950-999
# Malawi
97899908 0-0
97899908 10-89
97899908 900-999
# Malta
97899909 0-3
97899909 40-94
97899909 950-999
